序号,职业名称,卡通场景描述（配图参考）,职业介绍（给小朋友看）
1,医生,医院诊室，白大褂，听诊器，给小朋友看病,在医院穿着白大褂，用听诊器为病人检查身体，帮助大家赶走病痛、恢复健康。
2,护士,病房里，护士帽，体温计，照顾病人,在病房为病人量体温、打针、换药，细心照顾生病的人，协助医生治疗。
3,警察,街道巡逻，警服，警车，帮助路人,身穿警服在社区巡逻，维护秩序，保护大家安全，主动帮助有困难的人。
4,消防员,红色消防车，橙色消防服，灭火救人,开着消防车赶到火灾现场，灭火、救人、处理危险，守护大家的生命安全。
5,交通警察,路口指挥，反光背心，红绿灯旁,站在路口指挥车辆和行人，让马路更安全、不堵车，保障出行顺畅。
6,环卫工人,街道清扫，黄马甲，扫帚，垃圾桶,穿着黄马甲清扫马路、清理垃圾，让城市每天都干干净净。
7,邮递员,骑邮政电动车，送信送包裹到家门口,骑着小车挨家挨户送信、送包裹，把信件和礼物送到大家手中。
8,救生员,泳池边，救生圈，瞭望水面,在泳池或海边看守，时刻注意安全，及时救助遇到危险的人。
9,厨师,厨房灶台，厨师帽，炒菜做饭,在厨房里切菜、炒菜、炖汤，做出香喷喷的饭菜给大家吃。
10,面点师,烘焙房，做蛋糕、面包，裱花,揉面、烘烤，制作面包、蛋糕、饼干等甜甜的点心。
11,服务员,餐厅里，端菜、倒水、招待客人,在餐厅端菜、收拾桌子，热情招待来吃饭的客人。
12,收银员,超市柜台，扫码、收钱、找零,在超市或商店扫码算账，帮大家完成购物付钱。
13,理发师,理发店，剪刀、梳子，剪头发,用剪刀和梳子为大家修剪头发，让人变得干净又精神。
14,饲养员,动物园 / 农场，喂小动物，打扫笼舍,在动物园或农场喂小动物吃饭、打扫卫生，照顾它们健康成长。
15,外卖员,骑电动车，送餐箱，送热饭菜,穿梭在城市里，把热乎的饭菜快速送到大家家里。
16,快递员,送包裹，快递车，上门派件,风雨无阻送包裹，把大家网购的东西送到家门口。
17,教师,教室讲台，讲课，黑板前,站在教室里教小朋友知识、讲道理，陪伴大家学习成长。
18,幼儿园老师,幼儿园，带孩子唱歌、做游戏,照顾小朋友，带大家唱歌、画画、做游戏，守护快乐童年。
19,图书管理员,图书馆，整理书架，帮找书,在图书馆整理书籍，帮小朋友找书，维持安静的阅读环境。
20,画家,画板、画笔、颜料，画画,拿着画笔和颜料，画出美丽的风景、动物和有趣的图画。
21,音乐家,弹钢琴 / 拉小提琴，演奏音乐,弹奏乐器，演奏好听的音乐，给大家带来快乐。
22,作家,电脑 / 纸笔，写故事、童话,用文字写故事、童话，创作好看的书籍。
23,摄影师,拿相机，拍照，记录瞬间,用相机拍下风景、人物，留住生活中美好的瞬间。
24,主持人,舞台上，话筒，主持节目,在舞台或电视上主持节目，带动气氛，让节目更有趣。
25,演员,舞台 / 片场，扮演角色，表演,在电视、电影里扮演角色，表演精彩的故事。
26,漫画家,画漫画，卡通人物，故事分镜,画出有趣的漫画人物和故事，带给大家欢乐。
27,配音演员,麦克风前，给动画角色配音,用好听的声音给动画片角色配音，让角色活起来。
28,花艺师,花店，包花束，搭配鲜花,用鲜花制作漂亮花束，装点生活，让环境更美。
29,科学家,实验室，做实验，观察仪器,在实验室做实验，探索大自然和宇宙的秘密。
30,牙医,牙科椅，检查牙齿，修补蛀牙,帮小朋友检查牙齿、治蛀牙，教大家保护牙齿。
31,兽医,宠物医院，给小猫小狗看病,专门给小动物看病、打针，守护宠物健康。
32,宇航员,宇航服，火箭，太空场景,穿着宇航服坐火箭飞向太空，探索星球。
33,飞行员,驾驶舱，开飞机，蓝天白云,驾驶飞机在天上飞，安全把乘客送到各个地方。
34,建筑师,画图纸，设计房子、高楼,画出房子、桥梁的设计图，规划城市建筑。
35,工程师,工地 / 工作室，看图纸，造机器,根据图纸设计、建造桥梁、机器和各种设施。
36,程序员,电脑前，写代码，做软件,用电脑写代码，制作软件、游戏和手机 APP。
37,气象预报员,气象站，看云图，播报天气,分析天气数据，告诉大家明天是晴是雨。
38,验光师,眼镜店，测视力，配眼镜,用仪器检查视力，帮大家配到合适的眼镜。
